Main Artist,Genre
Coldplay,"alternative rock, pop rock"
The Walters,"indie rock, alternative pop"
Calvin Harris,edm
TV Girl,"indie pop, lo-fi pop"
One Direction,pop
Justin Bieber,"pop, r&b"
Avicii,edm
Pitbull,"pop rap, dance pop"
J. Cole,rap
MAGIC!,"reggae fusion, pop"
WALK THE MOON,"indie pop, dance rock"
Vance Joy,folk pop
Ariana Grande,pop
Hozier,"indie rock, soul"
Maroon 5,pop
Sam Smith,soft pop
Lana Del Rey,"dream pop, baroque pop"
Taylor Swift,"pop, alt pop"
Mr. Probz,"pop, hip hop, soul"
Pharrell Williams,"hip hop, r&b, pop"
Ed Sheeran,soft pop
George Ezra,"folk pop, soul"
Sia,"egyptian pop, egyptian hip hop, arabic hip hop"
Nico & Vinz,"pop, hip hop"
Ty Dolla $ign,trap soul
Route 94,house
Lilly Wood and The Prick,french indie pop
Clean Bandit,"classical crossover, edm"
Henrique & Juliano,"sertanejo, sertanejo universitário, arrocha, agronejo"
Badoxa,"kizomba, zouk, kuduro"
Anselmo Ralph,"kizomba, zouk, kuduro"
Djodje,"kizomba, zouk, kuduro, kompa"
B4,cedm
Enrique Iglesias,"latin pop, latin"
Tiago Bettencourt,fado
Dillaz,"portuguese hip hop, punta"
Lord Huron,"indie folk, indie rock"
Tame Impala,"neo-psychedelic, indie"
The Weeknd,"r&b, pop, alternative r&b"
Mark Ronson,"funk, soul, pop"
Twenty One Pilots,"alternative, electropop"
Chase Atlantic,"alt r&b, trap, rock fusion"
Shawn Mendes,"pop, pop rock"
The Neighbourhood,"indie rock, alt pop"
Lil Peep,"emo rap, cloud rap"
Bryson Tiller,"trap soul, r&b"
Robin Schulz,tropical house
Maluma,"reggaeton, latin, urbano latino"
OMI,"reggae fusion, pop"
Kendrick Lamar,"hip hop, west coast hip hop"
Travis Scott,rap
PARTYNEXTDOOR,"dark r&b, r&b, trap soul"
A$AP Rocky,rap
Adele,"gospel, african gospel"
Madcon,norwegian hip hop
Olly Alexander (Years & Years),"synthpop, electropop"
Beach House,dream pop
Skales,"afrobeats, afrobeat, azonto, afropop, bongo flava"
Cali Y El Dandee,"colombian pop, pop urbano"
Matheus & Kauan,"sertanejo, sertanejo universitário, arrocha, agronejo"
Luan Santana,"sertanejo, sertanejo universitário, arrocha"
Boy Teddy,"kizomba, zouk, kuduro"
C4 Pedro,"kizomba, zouk, kuduro, kompa"
Bispo,"portuguese rap, hip hop"
GROGNation,portuguese hip hop
Mariza,fado
Deejay Telio,"portuguese hip hop, kizomba, kuduro"
Calema,"kizomba, zouk"
Don G,"portuguese hip hop, kizomba"
Ana Moura,fado
Drake,rap
DJ Snake,"edm, trap, house"
The Chainsmokers,"edm, pop"
James Arthur,soft pop
Frank Ocean,"alternative r&b, neo soul"
Bruno Mars,"pop, funk, r&b"
Lukas Graham,pop soul
Rihanna,"pop, r&b, dancehall"
Seafret,indie folk
Mike Posner,"pop rap, dance pop"
KALEO,"blues rock, indie rock"
Lost Frequencies,tropical house
Kungs,"house, dance"
ZAYN,"pop, r&b"
Post Malone,"hip hop, pop rap"
Kygo,tropical house
Phil Collins,soft rock
MHD,afro trap
CNCO,"reggaeton, latin"
Alok,"brazilian bass, electronic, slap house, electro house"
MC Kevinho,"funk, brazilian funk, funk pop"
Gente De Zona,"latin, latin dance"
J Balvin,"reggaeton, latin"
Danny Ocean,reggaeton
Ricky Martin,"latin pop, latin"
Marília Mendonça,"sertanejo, sertanejo universitário, arrocha, forró"
Nelson Freitas,"kizomba, zouk, kompa, kuduro"
Matias Damásio,"kizomba, zouk, kuduro"
Capitão Fausto,"portuguese rock, indie"
Plutonio,portuguese hip hop
Força Suprema,"portuguese hip hop, kizomba"
Tyler,alternative hip hop
Imagine Dragons,"pop rock, electropop"
Cigarettes After Sex,dream pop
French Montana,"hip hop, trap"
Harry Styles,"pop rock, britpop"
Måneskin,"glam rock, alternative rock"
Daniel Caesar,"r&b, soul"
Portugal. The Man,"psychedelic rock, indie rock"
Billie Eilish,"alt pop, electropop"
Ozuna,"reggaeton, trap latino, latin, urbano latino"
Shakira,latin pop
Future,rap
Anitta,"brazilian pop, funk pop, funk carioca, funk, pagode baiano"
Nicky Jam,"reggaeton, latin"
1Kilo,brazilian hip hop
Matuê,"brazilian trap, trap, brazilian hip hop, trap funk"
Mc IG,"funk, funk consciente, brazilian funk, trap funk"
Mc Livinho,"funk, brazilian funk, funk carioca"
MC G15,"funk, brazilian funk"
Mc Don Juan,"funk, brazilian funk, funk consciente, trap funk"
Master Jake,"kizomba, zouk, kuduro"
Richie Campbell,portuguese hip hop
Wet Bed Gang,portuguese hip hop
Virgul,"kizomba, portuguese hip hop"
Xutos & Pontapés,portuguese rock
Yasmine,"kizomba, zouk, kuduro, kompa"
Piruka,portuguese hip hop
Os Quatro e Meia,"portuguese pop, folk rock"
Lhast,portuguese hip hop
Sean Paul,dancehall
Lady Gaga,"art pop, pop"
Juice WRLD,"melodic rap, emo rap"
Marshmello,edm
Anuel AA,"reggaeton, trap latino, urbano latino, latin"
Calum Scott,soft pop
6ix9ine,"trap, hip hop"
Bad Bunny,"reggaeton, trap latino, urbano latino, latin"
MC L da Vinte,"funk de bh, funk, brazilian funk, funk carioca"
Parcels,indie soul
Xamã,"brazilian hip hop, brazilian trap, trap"
Pixote,"pagode, samba"
Mc Kevin,"funk, brazilian funk, funk carioca, brega funk"
Papillon,portuguese hip hop
DJ Dadda,portuguese hip hop
Fernando Daniel,portuguese pop
Rapaz 100 Juiz,kizomba
Sam The Kid,portuguese hip hop
Diogo Piçarra,portuguese hip hop
Bárbara Bandeira,"portuguese hip hop, kizomba"
T-Rex,"portuguese hip hop, punta"
Valas,portuguese hip hop
Lewis Capaldi,soft pop
Chris Brown,r&b
Lil Tecca,"melodic rap, rap"
Dj Guuga,"funk, brazilian funk, piseiro, brega funk, arrocha"
Rauw Alejandro,"reggaeton, urbano latino, trap latino, latin"
Luis Fonsi,latin
Diego & Victor Hugo,"sertanejo, sertanejo universitário, arrocha, piseiro, agronejo"
Daddy Yankee,"reggaeton, latin"
Beéle,"latin afrobeats, reggaeton, pop urbano"
Gilsons,"nova mpb, mpb"
MC Du Black,"funk, brazilian funk, brega funk"
MC Kevin o Chris,"funk, brazilian funk, funk carioca, brega funk"
ANAVITÓRIA,"mpb, nova mpb, brazilian pop"
Pk,"melodic techno, melodic house"
Mc Leozin,"funk de bh, funk, brazilian funk"
MC JottaPê,"funk, brazilian funk, brega funk, agronejo"
NAPA,"indie, lo-fi"
Slow J,portuguese hip hop
Phoenix Rdc,portuguese hip hop
Nininho Vaz Maia,kizomba
Dream Supplier,"indie, lo-fi"
Charli xcx,"hyperpop, art pop"
Glass Animals,"indie pop, psychedelic pop"
Hotel Ugly,"indie pop, chill pop"
Ozzy Osbourne,"metal, glam metal, heavy metal, hard rock"
Gracie Abrams,"bedroom pop, indie pop"
Miley Cyrus,"pop, rock, country"
Dua Lipa,pop
Boza,"reggaeton, urbano latino, pop urbano"
Don Miguelo,dembow
Don Toliver,"trap, hip hop, alt r&b"
Jay Wheeler,reggaeton
Orochi,"brazilian trap, brazilian hip hop, trap, trap funk"
FRANKIEONTHEGUITAR,portuguese hip hop
Soraia Ramos,"kizomba, zouk, portuguese hip hop"
Domingues,portuguese hip hop
Gama WNTD,portuguese hip hop
Van Zee,portuguese hip hop
Gson,portuguese hip hop
Yuri NR5,portuguese hip hop
X.L.T,"underground, indie"
Olivia Rodrigo,"alt pop, pop punk"
Metallica,"metal, thrash metal, rock, heavy metal, hard rock"
Tate McRae,"pop, electropop"
Tory Lanez,"r&b, hip hop"
Elton John,"pop rock, glam rock"
Farruko,"reggaeton, trap latino"
Grupo Menos É Mais,"pagode, samba"
MeditarSons,"relaxation, meditation music"
Morad,"spanish rap, trap"
Francis Mercier,"afro house, melodic house, latin house, tribal house, house"
Teto,traditional music
MC Cabelinho,"brazilian trap, trap funk, trap, brazilian hip hop, funk consciente"
Mc Poze do Rodo,"brazilian trap, trap funk, brazilian funk, trap, brazilian hip hop, funk, funk consciente"
Julinho Ksd,"portuguese hip hop, punta, kizomba"
Maninho,"portuguese pop, latin"
Bárbara Tinoco,portuguese hip hop
Djo,"psychedelic rock, indie"
David Guetta,"edm, dance"
SZA,"egyptian pop, egyptian hip hop, arabic hip hop"
Noah Kahan,"folk pop, indie folk"
OneRepublic,soft pop
Misa Bee,indie
Rosa Linn,"indie pop, pop rock"
Bizarrap,"argentine trap, trap latino, urbano latino"
Rema,"afrobeats, afrobeat, afropop, afropiano"
LF SYSTEM,"house, dance"
Benson Boone,"pop rock, ballads"
iñigo quintero,Unknown
Manuel Turizo,"reggaeton, pop urbano, latin, colombian pop"
Beny Jr,drill
Bob Sinclar,"french house, disco house"
WIU,"brazilian trap, rap"
KayBlack,"brazilian trap, trap, trap funk, brazilian hip hop"
Veigh,"brazilian trap, trap, trap funk, brazilian hip hop"
PEDRO SAMPAIO,"funk, brazilian funk, funk pop, funk carioca, brega funk, brazilian pop"
Pedro Abrunhosa,fado
Irina Barros,"kizomba, zouk, kompa"
D.A.M.A,portuguese pop
Anjos,portuguese pop
Sara Correia,fado
Nena,fado
Kappa Jotta,portuguese hip hop
Mizzy Miles,portuguese hip hop
Luís Trigacheiro,fado
Teddy Swims,"soul, r&b, pop rock"
Feid,"reggaeton, urbano latino"
The Kid LAROI,"pop rap, emo rap"
CYRIL,"chill pop, r&b"
Disclosure,house
Tyla,traditional music
KAROL G,"reggaeton, latin, urbano latino"
Dimitri Vegas & Like Mike,"big room, electronica, edm, electro"
Myke Towers,"reggaeton, trap latino, urbano latino"
Quevedo,"spanish trap, urban latino"
Loreen,europop
Wakyin,"afro house, latin house"
Dj Tchouzen,"funk, brazilian funk"
GIMS,"french rap, french r&b, french pop, pop urbaine"
DELLAFUENTE,"flamenco urbano, flamenco"
Borges,"brazilian trap, trap, trap funk, brazilian hip hop"
DENNIS,"funk, brazilian funk, funk carioca, funk pop, funk melody"
Nuno Ribeiro,"kizomba, fado"
LON3R JOHNY,"portuguese hip hop, punta"
Buba Espinho,fado
sombr,indie
Alex Warren,"pop, tiktok pop"
ROSÉ,"k-pop, pop"
Chappell Roan,"indie pop, queer pop"
HUGEL,"latin house, afro house, techengue"
Gigi Perez,"indie pop, alt pop"
ATLXS,"phonk, brazilian phonk"
Myles Smith,"indie folk, pop"
Alleh,"brazilian indie, alternative"
Adam Port,"afro house, house"
Lola Young,"soul, r&b, pop"
MoBlack,afro house
Nilo,"lo-fi, indie"
DJ TOPO,"funk, brazilian funk"
DJ NATAN 22,"funk, brazilian funk"
Boladin 211,"funk, brazilian funk, funk de bh, trap funk, funk consciente"
Oruam,"brazilian trap, trap funk, trap"
MC Tuto,"funk, funk consciente, brazilian funk, trap funk"
J. Eskine,"arrocha, piseiro, seresta, forró, brega"
DJ Malvado,"kuduro, kizomba, afro house"
Bluay,"portuguese hip hop, kizomba"
Ivandro,"portuguese hip hop, kizomba, zouk"
